timestamp,service_name,endpoint,response_time_ms,status_code,level,message,anomaly
2026-03-30T13:13:11.901615,gateway-proxy,/health,305,200,INFO,Request processed successfully,0
2026-03-30T13:13:11.951712,auth-service,/login,295,200,INFO,Request processed successfully,0
2026-03-30T13:13:12.000849,billing-api,/subscription/cancel,163,201,ERROR,Internal connection timeout,0
2026-03-30T13:13:12.053726,inventory-db,/stock/update,354,401,INFO,Request processed successfully,0
2026-03-30T13:13:12.117444,billing-api,/invoice/download,490,200,INFO,Request processed successfully,0
2026-03-30T13:13:12.174711,inventory-db,/stock/update,349,404,INFO,Request processed successfully,0
2026-03-30T13:13:12.237380,gateway-proxy,/health,243,400,INFO,Request processed successfully,0
2026-03-30T13:13:12.283569,gateway-proxy,/metrics,495,200,INFO,Request processed successfully,0
2026-03-30T13:13:12.324594,inventory-db,/stock/update,57,200,INFO,Request processed successfully,0
2026-03-30T14:12:28.015069,gateway-proxy,/health,895,400,INFO,Request processed successfully,1
2026-03-30T14:12:35.605287,inventory-db,/products/list,384,200,INFO,Request processed successfully,0
2026-03-30T14:12:35.920853,auth-service,/logout,722,201,INFO,Request processed successfully,0
2026-03-30T14:12:36.672647,billing-api,/subscription/cancel,421,200,INFO,Request processed successfully,0
2026-03-30T14:12:36.763956,gateway-proxy,/metrics,864,400,INFO,Request processed successfully,1
2026-03-30T14:12:37.016774,auth-service,/verify-token,585,201,INFO,Request processed successfully,0
2026-03-30T14:12:37.081122,billing-api,/invoice/download,124,200,INFO,Request processed successfully,0
2026-03-30T14:12:37.223578,inventory-db,/products/list,381,200,WARNING,Slow response detected from upstream,0
2026-03-30T14:12:37.284534,billing-api,/subscription/cancel,725,400,INFO,Request processed successfully,0
2026-03-30T14:12:37.352277,inventory-db,/products/list,804,200,INFO,Request processed successfully,0
2026-03-30T14:12:37.429506,gateway-proxy,/metrics,957,200,INFO,Request processed successfully,0
2026-03-30T14:12:37.510999,billing-api,/checkout,722,200,INFO,Request processed successfully,0
2026-03-30T14:12:37.631941,gateway-proxy,/metrics,613,200,INFO,Request processed successfully,0
2026-03-30T14:12:37.733898,inventory-db,/products/list,779,200,INFO,Request processed successfully,0
2026-03-30T14:12:37.818459,auth-service,/logout,670,200,INFO,Request processed successfully,0
2026-03-30T14:12:37.877168,billing-api,/checkout,222,400,INFO,Request processed successfully,0
2026-03-30T14:12:38.013667,auth-service,/verify-token,336,200,INFO,Request processed successfully,0
